iter	Logloss
0	0.5642103204
1	0.4663148631
2	0.3897038579
3	0.3381966491
4	0.304591997
5	0.2753997076
6	0.2546767341
7	0.2404128001
8	0.2276969056
9	0.2184158413
10	0.2107281414
11	0.2050225223
12	0.2002395259
13	0.1960043036
14	0.1928865627
15	0.1906953665
16	0.1879306523
17	0.1861994965
18	0.1848224851
19	0.1835701183
20	0.1821183885
21	0.1812943285
22	0.1799380951
23	0.1786514761
24	0.1774884372
25	0.1767306051
26	0.175893816
27	0.1751314737
28	0.1742744381
29	0.1736085003
30	0.1729422254
31	0.1724506264
32	0.1719154411
33	0.171222455
34	0.1706483523
35	0.169923603
36	0.1692917474
37	0.1686978649
38	0.1682550109
39	0.1679823218
40	0.1676416816
41	0.1671974685
42	0.1667873218
43	0.1663018342
44	0.1658379637
45	0.1654190857
46	0.1650793309
47	0.1646518423
48	0.1644064588
49	0.1637716439
50	0.1635251706
51	0.1630653558
52	0.1623979441
53	0.1619306303
54	0.1617071411
55	0.1614053564
56	0.1609415565
57	0.1606238926
58	0.1603084481
59	0.1601259586
60	0.1599063066
61	0.1596280372
62	0.1593942939
63	0.1590182438
64	0.1587256163
65	0.1584186432
66	0.1581467886
67	0.158019285
68	0.1577535477
69	0.1575543551
70	0.1573010522
71	0.1570125905
72	0.1567928489
73	0.1565224398
74	0.1562631834
75	0.156044714
76	0.1558015053
77	0.1555863636
78	0.1552688074
79	0.1550472166
80	0.1548022354
81	0.1545809401
82	0.1542910956
83	0.1539999094
84	0.1538112222
85	0.1535205368
86	0.1533013265
87	0.1531857592
88	0.1527900386
89	0.1525736169
90	0.1524515837
91	0.1522862932
92	0.1520439561
93	0.1519314818
94	0.1517284168
95	0.1515747078
96	0.1514005291
97	0.1512496988
98	0.1511082633
99	0.1509021947
100	0.1507445968
101	0.1505527063
102	0.1502940721
103	0.1500683985
104	0.1498275214
105	0.1495567324
106	0.149328437
107	0.1490706552
108	0.1489046615
109	0.1486696418
110	0.1485233483
111	0.148338956
112	0.1481636665
113	0.147993504
114	0.1477510747
115	0.1476213009
116	0.1474144686
117	0.1471974369
118	0.147040738
119	0.1468792009
120	0.1467620171
121	0.1465784982
122	0.1463376115
123	0.1461149941
124	0.1459235774
125	0.1457996684
126	0.145657182
127	0.145431622
128	0.1452954112
129	0.1451058659
130	0.1449314824
131	0.144791515
132	0.1446067943
133	0.1444569398
134	0.1442478551
135	0.1440098475
136	0.1438704591
137	0.1437666051
138	0.1435804971
139	0.1434859138
140	0.1432878543
141	0.1431318792
142	0.1430253547
143	0.1429361202
144	0.1427488456
145	0.1426405791
146	0.1425105057
147	0.1423821019
148	0.1423072442
149	0.1420285409
150	0.1418424595
151	0.1416468652
152	0.1414865342
153	0.1413122039
154	0.1412093515
155	0.1410474975
156	0.1409218868
157	0.1407647123
158	0.1406616258
159	0.1404262991
160	0.1403128979
161	0.1401410116
162	0.1399731102
163	0.1398551053
164	0.1397354748
165	0.1395486578
166	0.1393967335
167	0.1392973006
168	0.1392035384
169	0.1390034695
170	0.1388046984
171	0.1387103867
172	0.1385486717
173	0.1384030781
174	0.1383117613
175	0.1381788641
176	0.1381578014
177	0.1381024145
178	0.1379394253
179	0.1378492061
180	0.1377362048
181	0.1376263283
182	0.1373967019
183	0.1372513786
184	0.1370593721
185	0.136934873
186	0.136774389
187	0.1366764347
188	0.136570996
189	0.1364258564
190	0.1362555874
191	0.1361661378
192	0.1360169637
193	0.1359195831
194	0.135911074
195	0.1358156064
196	0.1356275059
197	0.1354718424
198	0.1353786729
199	0.1352915675
200	0.1351274784
201	0.1350019655
202	0.1347583926
203	0.1345958767
204	0.1344924284
205	0.1343985429
206	0.1343141887
207	0.1342472302
208	0.1341194781
209	0.1339638075
210	0.1338584934
211	0.1337505077
212	0.1336021822
213	0.133525501
214	0.1335187103
215	0.1334225906
216	0.1333103609
217	0.1331917342
218	0.133088839
219	0.1329928127
220	0.1328775809
221	0.1327049176
222	0.1326174299
223	0.1325518713
224	0.1324640923
225	0.1324075578
226	0.1322995116
227	0.1322595203
228	0.1321629906
229	0.132075263
230	0.1319489534
231	0.1317834702
232	0.1317260476
233	0.1317210313
234	0.1316624615
235	0.131578596
236	0.1314868605
237	0.1314123799
238	0.1312919821
239	0.131183149
240	0.1311788996
241	0.1310710913
242	0.1310112673
243	0.130917081
244	0.1308349851
245	0.1307523439
246	0.1305704082
247	0.130519536
248	0.130414672
249	0.1303702902
250	0.1302669132
251	0.1301282874
252	0.130051041
253	0.1300081464
254	0.1298706833
255	0.1298145498
256	0.1297612835
257	0.1296572407
258	0.1295498386
259	0.129453849
260	0.1293917891
261	0.1293275881
262	0.1292641178
263	0.1291641308
264	0.1290828073
265	0.1289686185
266	0.128907915
267	0.1288372841
268	0.1287478089
269	0.1285966679
270	0.1284917226
271	0.1284162893
272	0.128336389
273	0.1282447782
274	0.128099472
275	0.1279659073
276	0.1278494991
277	0.1278447216
278	0.127764487
279	0.1276966013
280	0.1276081454
281	0.1275267617
282	0.127409638
283	0.127285339
284	0.1271706582
285	0.1270894539
286	0.126990746
287	0.126944354
288	0.1268392702
289	0.1267661485
290	0.1267088293
291	0.1266179063
292	0.1265643235
293	0.1264592656
294	0.1262856284
295	0.1261664428
296	0.1261156486
297	0.1260297918
298	0.1259474362
299	0.125904548
300	0.1258404577
301	0.1257699795
302	0.1256788913
303	0.1256148655
304	0.1255333221
305	0.1253643025
306	0.1252403158
307	0.1251525446
308	0.1250727197
309	0.124921088
310	0.1248221795
311	0.1248020214
312	0.1247122759
313	0.1246309494
314	0.1245334231
315	0.1244828212
316	0.1244162677
317	0.1243570168
318	0.1242758012
319	0.1242063286
320	0.1240940587
321	0.1240597909
322	0.1239874958
323	0.1239148011
324	0.1238746671
325	0.1237879283
326	0.1236967198
327	0.1236941095
328	0.1235826887
329	0.1234955884
330	0.1233923747
331	0.1233392293
332	0.1232806867
333	0.1232073402
334	0.1231010341
335	0.1230326618
336	0.1229723561
337	0.1228778305
338	0.1227798937
339	0.1226381786
340	0.1225407591
341	0.1224986757
342	0.1224360587
343	0.1223493037
344	0.1222867624
345	0.1222363474
346	0.1221752458
347	0.1220906509
348	0.1220227755
349	0.1219448767
350	0.121881829
351	0.1218785308
352	0.1218146449
353	0.1217644254
354	0.1216866241
355	0.1215872696
356	0.1215278699
357	0.1214619686
358	0.1213219956
359	0.1212912887
360	0.1212388812
361	0.1211712782
362	0.1211240331
363	0.1210929784
364	0.1210730519
365	0.1210062524
366	0.1209907378
367	0.1209452941
368	0.1208670122
369	0.1208109995
370	0.1207108784
371	0.1206272233
372	0.1205556563
373	0.1205010014
374	0.1204410068
375	0.1203838719
376	0.1203517842
377	0.1202778458
378	0.1202089402
379	0.1201342574
380	0.1200942283
381	0.1199842256
382	0.1198932189
383	0.11974397
384	0.1196748574
385	0.1195693065
386	0.1194968094
387	0.1194286077
388	0.1193495817
389	0.1192768117
390	0.1191890141
391	0.1190920378
392	0.1190234951
393	0.1189611767
394	0.1188939241
395	0.1188404056
396	0.1187191662
397	0.1186623185
398	0.1186051009
399	0.1185329379
400	0.1184812032
401	0.1184335946
402	0.1183765292
403	0.1183302123
404	0.118243936
405	0.1181970565
406	0.1181558503
407	0.1181539363
408	0.1181380595
409	0.118030506
410	0.1179638078
411	0.1179070003
412	0.1178559001
413	0.1178310657
414	0.1177780552
415	0.1177542137
416	0.1177086779
417	0.1176654936
418	0.1175828087
419	0.1174733097
420	0.1174494781
421	0.1173965054
422	0.117320888
423	0.1172593135
424	0.1172074111
425	0.1171861004
426	0.1171358523
427	0.1169967986
428	0.1169684306
429	0.1169668413
430	0.1169426602
431	0.1168836848
432	0.1168049791
433	0.1167399959
434	0.116721831
435	0.1166410913
436	0.1165335725
437	0.1164466626
438	0.1163898419
439	0.1163687851
440	0.1162930781
441	0.1162457445
442	0.1162035381
443	0.1161541363
444	0.1160856741
445	0.1160381265
446	0.1159587189
447	0.1158858804
448	0.1158364718
449	0.1157996287
450	0.1157457164
451	0.115717424
452	0.1156624441
453	0.1156323503
454	0.1155690991
455	0.1155392163
456	0.1154914225
457	0.1153904204
458	0.1153160454
459	0.1152637847
460	0.1152266967
461	0.1151738601
462	0.1151106678
463	0.1151081383
464	0.1150558679
465	0.1150394534
466	0.1150319689
467	0.1149815452
468	0.1148559415
469	0.1148167877
470	0.1147280292
471	0.1147020923
472	0.1146386792
473	0.1145862997
474	0.1145321426
475	0.1145095427
476	0.1144543271
477	0.1144029559
478	0.1143375091
479	0.1142803139
480	0.1142340401
481	0.1142083089
482	0.1141053066
483	0.1140151568
484	0.1139556768
485	0.1139125654
486	0.1138450466
487	0.1137421814
488	0.1136634774
489	0.1136376184
490	0.1135800771
491	0.11348031
492	0.1134466893
493	0.1134218588
494	0.1133636821
495	0.1133484285
496	0.1132472321
497	0.1131867877
498	0.1131433826
499	0.1131017798
500	0.1130852431
501	0.1130055268
502	0.1129720303
503	0.1129285233
504	0.1129106552
505	0.1128622976
506	0.112809186
507	0.1127502362
508	0.1126979357
509	0.1126623196
510	0.1125852975
511	0.1125577461
512	0.1125179143
513	0.1124829689
514	0.1124039488
515	0.1123126398
516	0.1122397545
517	0.1121702055
518	0.1121366118
519	0.1120834805
520	0.1120634788
521	0.1119509919
522	0.1119099701
523	0.1118886115
524	0.1117983947
525	0.1117267801
526	0.1117095082
527	0.1116651433
528	0.1116101069
529	0.1115670556
530	0.1115417809
531	0.1114960114
532	0.1114664062
533	0.111428002
534	0.1113940825
535	0.1113890677
536	0.1113218977
537	0.1112660013
538	0.1112342091
539	0.1111570748
540	0.1111211266
541	0.1110903621
542	0.1110273071
543	0.1109979461
544	0.1109126815
545	0.1108686844
546	0.110823988
547	0.1108127633
548	0.1107664075
549	0.1106985386
550	0.1105723349
551	0.1105510313
552	0.1104954957
553	0.1104557226
554	0.1104244282
555	0.110382737
556	0.1103170968
557	0.1102875182
558	0.1102558956
559	0.1102470757
560	0.1102098325
561	0.1102088731
562	0.1101931742
563	0.1101437761
564	0.1101115032
565	0.1100537157
566	0.1100128093
567	0.1099287947
568	0.109845293
569	0.109780363
570	0.1097302914
571	0.1096562715
572	0.1095983037
573	0.1095542647
574	0.1094839383
575	0.109419145
576	0.1093980798
577	0.109358169
578	0.1092776828
579	0.1092571475
580	0.1091830165
581	0.1091353603
582	0.1090639449
583	0.1090287847
584	0.1090174124
585	0.1089202885
586	0.1088932722
587	0.1088881741
588	0.1088595965
589	0.1088065995
590	0.1087608148
591	0.1087037082
592	0.1086471438
593	0.1086461782
594	0.1086061466
595	0.1085797053
596	0.1085245951
597	0.1084724896
598	0.1084594297
599	0.1084248086
600	0.1083777096
601	0.1083047325
602	0.10826969
603	0.1081544908
604	0.1081500289
605	0.1080532999
606	0.1080203864
607	0.1079553459
608	0.1078965355
609	0.1078427806
610	0.1077295098
611	0.1076768155
612	0.1076296176
613	0.1075700761
614	0.1075597029
615	0.1075313595
616	0.1074761751
617	0.1074409515
618	0.1073853513
619	0.1072956325
620	0.1071309065
621	0.1070855257
622	0.1070587881
623	0.1070175944
624	0.1069896345
625	0.1069266265
626	0.1068675873
627	0.1068112644
628	0.1067605903
629	0.1067421603
630	0.1066428457
631	0.106590019
632	0.1065498305
