iter	Passed	Remaining
399	61329	91993
400	61536	91921
401	61746	91851
402	61946	91767
403	62177	91727
404	62519	91849
405	62712	91752
406	62947	91714
407	63114	91578
408	63346	91534
409	63600	91522
410	63852	91505
411	64058	91423
412	64259	91332
413	64432	91202
414	64651	91135
415	64837	91021
416	65043	90935
417	65236	90832
418	65437	90737
419	65648	90657
420	65824	90527
421	66158	90614
422	66489	90695
423	66767	90702
424	67003	90651
425	67177	90516
426	67450	90513
427	67742	90534
428	67954	90447
429	68135	90319
430	68339	90220
431	68576	90165
432	68825	90125
433	69067	90074
434	69279	89983
435	69593	90024
436	69838	89975
437	70260	90151
438	70542	90146
439	70728	90018
440	70977	89968
441	71324	90043
442	71596	90021
443	71854	89980
444	72115	89941
445	72380	89907
446	72719	89963
447	73105	90076
448	73412	90089
449	73652	90019
450	73907	89967
451	74136	89882
452	74364	89795
453	74612	89732
454	74819	89618
455	75064	89550
456	75342	89520
457	75631	89502
458	75983	89557
459	76322	89595
460	76683	89658
461	77000	89666
462	77246	89592
463	77542	89575
464	77886	89611
465	78120	89520
466	78410	89492
467	78738	89506
468	79139	89601
469	79407	89545
470	79690	89503
471	79901	89381
472	80170	89322
473	80395	89215
474	80650	89140
475	80916	89075
476	81234	89068
477	81538	89044
478	81862	89040
479	82116	88959
480	82393	88902
481	82610	88780
482	82851	88683
483	83102	88597
484	83353	88509
485	83572	88387
486	83805	88279
487	83998	88129
488	84287	88079
489	84482	87931
490	84683	87788
491	84954	87717
492	85247	87668
493	85484	87561
494	85937	87674
495	86148	87538
496	86450	87493
497	86690	87386
498	86938	87286
499	87187	87187
500	87395	87046
501	87725	87026
502	87974	86925
503	88253	86852
504	88424	86673
505	88732	86628
506	88976	86519
507	89278	86466
508	89558	86390
509	89802	86281
510	90096	86217
511	90369	86133
512	90643	86049
513	90897	85946
514	91210	85897
515	91514	85839
516	91777	85741
517	92085	85685
518	92305	85547
519	92596	85473
520	92820	85337
521	93153	85301
522	93410	85195
523	93644	85066
524	93975	85025
525	94265	84946
526	94468	84788
527	94735	84687
528	95031	84612
529	95264	84480
530	95534	84379
531	95855	84323
532	96110	84209
533	96436	84156
534	96652	84006
535	96898	83882
536	97221	83823
537	97487	83716
538	97780	83630
539	98065	83537
540	98316	83414
541	98528	83258
542	98793	83146
543	99044	83022
544	99381	82969
545	99643	82853
546	99872	82709
547	100107	82570
548	100383	82464
549	100673	82369
550	101023	82322
551	101228	82156
552	101507	82050
553	101834	81982
554	102101	81865
555	102351	81734
556	102602	81602
557	102818	81444
558	103082	81322
559	103394	81238
560	103653	81112
561	103825	80917
562	104104	80806
563	104513	80794
564	104821	80703
565	105053	80553
566	105322	80431
567	105718	80405
568	106038	80321
569	106312	80200
570	106561	80061
571	106945	80022
572	107308	79966
573	107531	79805
574	107812	79687
575	108175	79629
576	108394	79464
577	108696	79359
578	109047	79290
579	109326	79167
580	109607	79045
581	109848	78894
582	110103	78753
583	110370	78619
584	110626	78478
585	110966	78396
586	111292	78302
587	111558	78166
588	111855	78051
589	112259	78011
590	112478	77840
591	112788	77732
592	113081	77612
593	113300	77440
594	113550	77290
595	113825	77157
596	114300	77157
597	114699	77105
598	115019	76999
599	115238	76825
600	115657	76784
601	116003	76693
602	116284	76558
603	116622	76461
604	116892	76317
605	117203	76201
606	117500	76075
607	117721	75899
608	117989	75753
609	118320	75647
610	118652	75541
611	118926	75397
612	119215	75263
613	119600	75188
614	119807	75001
615	120065	74846
616	120405	74740
617	120667	74587
618	120948	74445
619	121256	74318
620	121673	74257
621	121924	74095
622	122143	73913
623	122386	73745
624	122552	73531
625	122814	73374
626	123132	73251
627	123377	73083
628	123693	72957
629	123909	72772
630	124242	72655
631	124496	72491
632	124786	72348
633	124958	72137
634	125176	71951
635	125548	71854
636	125824	71701
637	126083	71539
638	126354	71383
639	126709	71274
640	126938	71093
641	127260	70964
642	127589	70839
643	127826	70661
644	128044	70474
645	128318	70316
646	128564	70144
647	128850	69992
648	129020	69778
